player_id,player_name,player_nickname,jersey_number,country,team_id,team_name
3023,Yuri Berchiche Izeta,Yuri Berchiche,12,"{'id': 214, 'name': 'Spain'}",215,Athletic Club
3024,Jacques François Moubandje,François Moubandje,29,"{'id': 221, 'name': 'Switzerland'}",130,Toulouse
3025,Christopher Nkunku,,33,"{'id': 78, 'name': 'France'}",131,Paris Saint-Germain
3026,Adrien Rabiot,,14,"{'id': 78, 'name': 'France'}",771,France
3027,Mathias Jattah-Njie Jørgensen,Zanka,13,"{'id': 61, 'name': 'Denmark'}",776,Denmark
3028,Kelvin Amian Adou,Kelvin Amian,34,"{'id': 78, 'name': 'France'}",130,Toulouse
3030,Wergiton do Rosário Calmon,Somália,19,"{'id': 31, 'name': 'Brazil'}",130,Toulouse
3031,Christopher Jullien,,6,"{'id': 78, 'name': 'France'}",139,Montpellier
3032,Zinédine Machach,,33,"{'id': 78, 'name': 'France'}",130,Toulouse
3034,Kamil Glik,,15,"{'id': 182, 'name': 'Poland'}",789,Poland
3035,Steeve Yago,,20,"{'id': 36, 'name': 'Burkina Faso'}",130,Toulouse
3036,Alexis Blin,,27,"{'id': 78, 'name': 'France'}",130,Toulouse
3037,Mousa Sidi Yaya Dembélé,Mousa Dembélé,19,"{'id': 22, 'name': 'Belgium'}",38,Tottenham Hotspur
3038,Andy Delort,,7,"{'id': 4, 'name': 'Algeria'}",136,OGC Nice
3040,Tomer Hemed,,10,"{'id': 111, 'name': 'Israel'}",1043,Mallorca
3041,Ciaran Clark,,6,"{'id': 109, 'name': 'Ireland'}",59,Aston Villa
3042,Mikel Merino Zazón,Mikel Merino,8,"{'id': 214, 'name': 'Spain'}",210,Real Sociedad
3043,Christian Dannemann Eriksen,Christian Eriksen,23,"{'id': 61, 'name': 'Denmark'}",38,Tottenham Hotspur
3044,Chancel Mbemba Mangulu,Chancel Mbemba,18,"{'id': 52, 'name': 'Congo, (Kinshasa)'}",37,Newcastle United
3045,Ismaël Traoré,,8,"{'id': 55, 'name': ""Côte d'Ivoire""}",145,Angers
3047,Benoît Assou-Ekotto,,32,"{'id': 39, 'name': 'Cameroon'}",135,Saint-Étienne
3049,Matt Ritchie,,30,"{'id': 201, 'name': 'Scotland'}",28,AFC Bournemouth
3052,Pablo Javier Zabaleta Girod,Pablo Zabaleta,5,"{'id': 11, 'name': 'Argentina'}",36,Manchester City
3053,Leroy Sané,,19,"{'id': 85, 'name': 'Germany'}",770,Germany
